"PointID","x","y","Pressure","Velocity_x","Velocity_y","Enthalpy","Turb_Kin_Energy","Omega","Species_0","Species_1"
24, 0.000000000000000e+00, 1.250041877431044e-02, 2.700049209502716e+00, 1.008596349134197e+00, -3.789210993509897e-02, 3.014109000000000e+05, 3.785273892144581e-03, 3.564814061400513e+01, 5.007624149653958e-01, 5.007624148798835e-01
25, 0.000000000000000e+00, 1.282452111726899e-02, 2.708238596221399e+00, 1.010399723629160e+00, -4.150725921372128e-02, 3.014109000000000e+05, 3.757475355731630e-03, 4.578508637077218e+01, 5.007597623995261e-01, 5.007597623136413e-01
26, 0.000000000000000e+00, 1.311621321753564e-02, 2.716259927094140e+00, 1.012742174254397e+00, -4.499201712126547e-02, 3.014108999999999e+05, 3.707546928303602e-03, 6.668736398174185e+01, 5.007288684265858e-01, 5.007288683403693e-01
27, 0.000000000000000e+00, 1.337873610954445e-02, 2.723951182421319e+00, 1.015909593524407e+00, -4.822637423375848e-02, 3.014109000000000e+05, 3.622871583026585e-03, 1.107613567043802e+02, 5.006668392747932e-01, 5.006668391882497e-01
28, 0.000000000000000e+00, 1.361500671951247e-02, 2.731160114870533e+00, 1.020159135917548e+00, -5.102361154274459e-02, 3.014109000000000e+05, 3.483734384295188e-03, 2.030685749190536e+02, 5.005713820634826e-01, 5.005713819766024e-01
29, 0.000000000000000e+00, 1.382765027082014e-02, 2.737810958007912e+00, 1.025517218548413e+00, -5.314068058879433e-02, 3.014109000000000e+05, 3.268426141777556e-03, 3.882328597112927e+02, 5.004422106471978e-01, 5.004422105599732e-01
30, 0.000000000000000e+00, 1.401902946566505e-02, 2.743894285495667e+00, 1.031541996105128e+00, -5.429492758234353e-02, 3.014108999999999e+05, 2.965353380254153e-03, 7.400813866868349e+02, 5.002818678069381e-01, 5.002818677193694e-01
31, 0.000000000000000e+00, 1.419127073662504e-02, 2.749420122664418e+00, 1.037059685980502e+00, -5.417383451804880e-02, 3.014108999999999e+05, 2.579376473843614e-03, 1.385099223091275e+03, 5.000961733778290e-01, 5.000961732899244e-01
32, 0.000000000000000e+00, 1.434628787699931e-02, 2.754372144039301e+00, 1.039647082084812e+00, -5.244578506450767e-02, 3.014108999999999e+05, 2.129088621969844e-03, 2.561744273208871e+03, 4.998945606012395e-01, 4.998945605130120e-01
33, 0.000000000000000e+00, 1.448580330971832e-02, 2.758816547425620e+00, 1.034555379395349e+00, -4.874988048365930e-02, 3.014109000000000e+05, 1.642165850121827e-03, 4.776533321583986e+03, 4.996906710123054e-01, 4.996906709237705e-01
34, 0.000000000000000e+00, 1.461136720245523e-02, 2.762483495345028e+00, 1.012544995118136e+00, -4.276871715151175e-02, 3.014108999999999e+05, 1.151743198752269e-03, 9.273379352787839e+03, 4.995006862603485e-01, 4.995006861715241e-01
35, 0.000000000000000e+00, 1.472437470238818e-02, 2.766690409667219e+00, 9.555919321785055e-01, -3.395551285288038e-02, 3.014109000000000e+05, 6.963476195000258e-04, 1.976697127468112e+04, 4.993478123349517e-01, 4.993478122458581e-01
36, 0.000000000000000e+00, 1.482608144927859e-02, 2.766130573210496e+00, 8.278625271188960e-01, -2.286408156381406e-02, 3.014109000000000e+05, 3.223125730179259e-04, 5.086397528011984e+04, 4.992378994548565e-01, 4.992378993655230e-01
37, 0.000000000000000e+00, 1.491761752497080e-02, 2.785454122630508e+00, 5.590045800151583e-01, -5.740892389970895e-03, 3.014108999999999e+05, 8.462986572945287e-05, 1.947725576573201e+05, 4.992405478441973e-01, 4.992405477546566e-01
38, 4.722432614538001e-03, 1.500000000000000e-02, 2.615712732109687e+00, 0.000000000000000e+00, 0.000000000000000e+00, 3.014109000000000e+05, 1.000000000000000e-10, 1.719130144763344e+06, 4.987597444709619e-01, 4.987597439607658e-01
39, 8.972621976725083e-03, 1.500000000000000e-02, 2.602147125041308e+00, 0.000000000000000e+00, 0.000000000000000e+00, 3.014109000000000e+05, 1.000000000000000e-10, 1.719130144848051e+06, 5.001776653422705e-01, 5.001776625120845e-01
40, 1.279779239177890e-02, 1.500000000000000e-02, 2.593171344156987e+00, 0.000000000000000e+00, 0.000000000000000e+00, 3.014109000000000e+05, 1.000000000000000e-10, 1.719130144924433e+06, 5.005536431567611e-01, 5.005536289905693e-01
41, 1.624044578460677e-02, 1.500000000000000e-02, 2.588564078496220e+00, 0.000000000000000e+00, 0.000000000000000e+00, 3.014109000000000e+05, 1.000000000000000e-10, 1.719130144992850e+06, 5.006013596769701e-01, 5.006012959198146e-01
42, 1.933883383856140e-02, 1.500000000000000e-02, 2.585247715395021e+00, 0.000000000000000e+00, 0.000000000000000e+00, 3.014109000000000e+05, 1.000000000000000e-10, 1.719130145054606e+06, 5.005530311270610e-01, 5.005527719001583e-01
43, 2.212738308149247e-02, 1.500000000000000e-02, 2.582998922704334e+00, 0.000000000000000e+00, 0.000000000000000e+00, 3.014109000000000e+05, 1.000000000000000e-10, 1.719130145110571e+06, 5.005046293734841e-01, 5.005036724511078e-01
44, 2.463707741354748e-02, 1.500000000000000e-02, 2.581566810733934e+00, 0.000000000000000e+00, 0.000000000000000e+00, 3.014109000000000e+05, 1.000000000000000e-10, 1.719130145160671e+06, 5.004705562348067e-01, 5.004673354679063e-01
45, 2.689580231763122e-02, 1.500000000000000e-02, 2.580925218333151e+00, 0.000000000000000e+00, 0.000000000000000e+00, 3.014109000000000e+05, 1.000000000000000e-10, 1.719130145205269e+06, 5.004499248412546e-01, 5.004400043829565e-01
46, 2.892865472460699e-02, 1.500000000000000e-02, 2.581052242501131e+00, 0.000000000000000e+00, 0.000000000000000e+00, 3.014109000000000e+05, 1.000000000000000e-10, 1.719130145245813e+06, 5.004381330379674e-01, 5.004100734472362e-01
47, 3.075822191939613e-02, 1.500000000000000e-02, 2.581918551366297e+00, 0.000000000000000e+00, 0.000000000000000e+00, 3.014109000000000e+05, 1.000000000000000e-10, 1.719130145282519e+06, 5.004331249976094e-01, 5.003600001670211e-01
48, 3.240483236233729e-02, 1.500000000000000e-02, 2.583468912233373e+00, 0.000000000000000e+00, 0.000000000000000e+00, 3.014109000000000e+05, 1.000000000000000e-10, 1.719130145315461e+06, 5.004373407030445e-01, 5.002611576676120e-01
