"PointID","x","y","Adjoint_Density","Adjoint_X-Momentum","Adjoint_Y-Momentum","Adjoint_Energy","Sensitivity_x","Sensitivity_y","Surface_Sensitivity"
0,1.500000000000000e+00,1.000000000000000e+00,3.915677513260566e-17,-1.208316982487759e-19,-1.525939373135887e-19,1.857924547596752e-22,1.250274990329495e-22,4.255766958488839e-18,0.000000000000000e+00,
1,1.479591836734694e+00,1.000000000000000e+00,5.966767644767944e-17,1.964576193803043e-20,3.378519427133346e-19,-3.130314560682483e-22,5.988191142064965e-24,-2.643375509367758e-17,0.000000000000000e+00,
2,1.459183673469388e+00,1.000000000000000e+00,-6.082319454382266e-17,3.134577786143261e-19,6.600466691538059e-19,-6.586875674450273e-22,3.548337078255754e-22,-8.521539639668591e-18,0.000000000000000e+00,
3,1.438775510204082e+00,1.000000000000000e+00,-4.206247720150815e-17,2.542569539451280e-19,5.916807512846331e-19,-5.645072380564928e-22,-6.624977252218729e-22,2.330530017545773e-16,0.000000000000000e+00,
4,1.418367346938776e+00,1.000000000000000e+00,-9.909695705976750e-17,3.860737117178696e-19,6.752989079334802e-19,-7.082650056923060e-22,-5.149464857127767e-22,9.469355707796152e-17,0.000000000000000e+00,
5,1.397959183673469e+00,1.000000000000000e+00,-5.683178990219287e-16,1.495078533512471e-18,1.809703447039551e-18,-1.948648875659795e-21,-3.051422711017887e-22,-1.592213656274795e-15,0.000000000000000e+00,
6,1.377551020408163e+00,1.000000000000000e+00,-2.922340309740083e-16,8.418576827839076e-19,1.407834602836216e-18,-1.212774240081753e-21,-1.381127337020478e-21,-1.588662012623429e-15,0.000000000000000e+00,
7,1.357142857142857e+00,1.000000000000000e+00,3.259549422211217e-17,8.011645424132065e-20,1.018396519684983e-18,-3.652701310142739e-22,1.418571638392504e-21,8.605287804056533e-15,0.000000000000000e+00,
8,1.336734693877551e+00,1.000000000000000e+00,-1.276512324763875e-15,3.067195525230071e-18,2.538772217876867e-18,-3.542169586594100e-21,6.174747196578254e-22,1.777957212605285e-14,0.000000000000000e+00,
9,1.316326530612245e+00,1.000000000000000e+00,-5.952338035706492e-15,1.060339037092411e-17,6.150114748163436e-19,-5.878689516783314e-21,4.074282124995743e-22,-2.925679755979234e-14,0.000000000000000e+00,
