"PointID","x","y","z","Pressure","Velocity_x","Velocity_y","Velocity_z","Turb_Kin_Energy","Omega"
34, 2.012652096000000e-02, 2.941568448000000e-02, 0.000000000000000e+00, 4.468215190317348e+01, 6.766960437753213e-01, -1.805554642524896e-01, 1.007680537290418e+01, 8.116512565453869e-01, 3.826616792418552e+02
35, 1.703013312000000e-02, 2.941568448000000e-02, 0.000000000000000e+00, 4.550164336046545e+01, 6.827093320481062e-01, -1.547674141070478e-01, 1.016227356435614e+01, 7.637956050485905e-01, 3.494243454546830e+02
36, 1.393374527999999e-02, 2.941568448000000e-02, 0.000000000000000e+00, 4.630631166723606e+01, 6.859035016623758e-01, -1.310347800328762e-01, 1.021255049328192e+01, 7.251433954842820e-01, 3.279612900190517e+02
37, 1.083735743999999e-02, 2.941568448000000e-02, 0.000000000000000e+00, 4.709468735445028e+01, 6.865868728692357e-01, -1.087445578373907e-01, 1.023401644103905e+01, 6.955919353555435e-01, 3.139247512946443e+02
38, 7.740969599999998e-03, 2.941568448000000e-02, 0.000000000000000e+00, 4.786563736864114e+01, 6.849567287858616e-01, -8.746655374125917e-02, 1.023089065480793e+01, 6.746442737899533e-01, 3.048118805417856e+02
39, 4.644581759999995e-03, 2.941568448000000e-02, 0.000000000000000e+00, 4.861838871878454e+01, 6.811289128064364e-01, -6.685090752634287e-02, 1.020554359597716e+01, 6.620017469912572e-01, 2.995292991689637e+02
40, 1.548193919999993e-03, 2.941568448000000e-02, 0.000000000000000e+00, 4.935204841751152e+01, 6.751927123194074e-01, -4.660647568383224e-02, 1.015913610625189e+01, 6.574822217298570e-01, 2.976186218871662e+02
41, -1.548193920000013e-03, 2.941568448000000e-02, 0.000000000000000e+00, 5.006625014482993e+01, 6.672277158996044e-01, -2.646407928362736e-02, 1.009199012670996e+01, 6.609794677515602e-01, 2.989208952473862e+02
42, -4.644581760000006e-03, 2.941568448000000e-02, 0.000000000000000e+00, 5.076058063233472e+01, 6.573020584922679e-01, -6.198309249485900e-03, 1.000355898771282e+01, 6.725239828740546e-01, 3.035717163454172e+02
43, -7.740969600000012e-03, 2.941568448000000e-02, 0.000000000000000e+00, 5.143474754950123e+01, 6.454914412603712e-01, 1.440977867387705e-02, 9.892345842420774e+00, 6.923544080335559e-01, 3.120970758733364e+02
44, -1.083735744000001e-02, 2.941568448000000e-02, 0.000000000000000e+00, 5.208837989389161e+01, 6.318863795774190e-01, 3.562044611571974e-02, 9.755598269689001e+00, 7.208253565772383e-01, 3.256939431729949e+02
45, -1.393374528000000e-02, 2.941568448000000e-02, 0.000000000000000e+00, 5.272083364806684e+01, 6.166134354860509e-01, 5.778906993676847e-02, 9.588970381125012e+00, 7.582592004901635e-01, 3.467669316238513e+02
46, -1.703013312000001e-02, 2.941568448000000e-02, 0.000000000000000e+00, 5.333121736966349e+01, 5.997910296302305e-01, 8.135467962245482e-02, 9.385885097222474e+00, 8.050704803698632e-01, 3.792424029658448e+02
47, -2.012652096000001e-02, 2.941568448000000e-02, 0.000000000000000e+00, 5.391879389432520e+01, 5.813355099769221e-01, 1.065441016451254e-01, 9.136455754612316e+00, 8.610971290844039e-01, 4.264378773588815e+02
48, -2.322290880000001e-02, 2.941568448000000e-02, 0.000000000000000e+00, 5.448539017063485e+01, 5.605599894474639e-01, 1.328871034968412e-01, 8.825863463420278e+00, 9.259403370129792e-01, 4.897482077607541e+02
49, -2.631929664000001e-02, 2.941568448000000e-02, 0.000000000000000e+00, 5.502764649612354e+01, 5.361971209471192e-01, 1.599303939637428e-01, 8.433990784542502e+00, 9.993747034490263e-01, 5.702588365249699e+02
50, -3.360760879120740e-02, 3.968042871865501e-02, 0.000000000000000e+00, 5.542395524880435e+01, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.000000000000000e-10, 2.993509075624318e+04
51, -3.021603793670389e-02, 4.232019427373620e-02, 0.000000000000000e+00, 5.483866682467775e+01, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.000000000000000e-10, 2.226888388410757e+04
52, -2.661806090443325e-02, 4.467086998981534e-02, 0.000000000000000e+00, 5.423293560426126e+01, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.000000000000000e-10, 1.752297298138722e+04
53, -2.283825552582670e-02, 4.671639836819774e-02, 0.000000000000000e+00, 5.361636015786385e+01, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.000000000000000e-10, 1.443914020096377e+04
